device,value,footprint,quantity,refdes,digikey PN
7805,unknown,TO220W,1,U5,NCP7805TGOS-ND
7805,unknown,TO220W,1,U6,497-1485-5-ND
CAPACITOR,0.001uF,0805,1,C9,311-1122-1-ND
CAPACITOR,0.1uF,0805,6,C2 C3 C6 C10 C12 C14,311-3562-1-ND
CAPACITOR,10uF,0805,2,C13 C15,311-1460-1-ND
CAPACITOR,22pF,0805,2,C7 C8,311-1103-1-ND
CONNECTOR_2,unknown,SIP2,2,CONN2 CONN4,732-5315-ND
CONNECTOR_4,unknown,SIP4,1,CONN3,732-5317-ND
CONNECTOR_6,unknown,SIP6,1,FTDI,732-5319-ND
CRYSTAL,16MHz,HC49,1,Y3,XC1925-ND
DIODE,ES2F,DO214,1,D1,ES2F-E3/52TGICT-ND
HEADER6,unknown,CON_HDR-254P-3C-2R-6N__Molex_8624-Series,1,ISP1,732-5295-ND
HOLE,unknown,hole_3mm,4,H1 H2 H3 H4,N/A
INDUCTOR,100uH,B82479A,1,L1,495-2703-1-ND
LED,unknown,0603,1,LED_ACT,754-1541-1-ND
LED,unknown,0603,1,LED_ERR,754-1544-1-ND
LED,unknown,0603,1,LED_WIFI,754-1547-1-ND
MICROCONTROLLER,ATmega328_TQFP,TQFP32_7,1,U1,ATMEGA328P-AURCT-ND
NMOS_TRANSISTOR,IRF840,TO220W,1,Q1,IRF840APBF-ND
NPN_TRANSISTOR,2N7000,TO92,1,Q2,2N7000TACT-ND
POLARIZED_CAPACITOR,100uF/35V,EIA7343,1,C1,478-6066-1-ND
POLARIZED_CAPACITOR,10uF/250V,NICHICON_WT_CAP_10_10,1,C4,PCE3432CT-ND
POLARIZED_CAPACITOR,10uF/25V,EIA7343,1,C5,478-1775-1-ND
POLARIZED_CAPACITOR,47uF,RCY100P,1,C11,N/A - in stock
PWRJACK,unknown,PJ044A,1,CONN1,CP-044A-ND
RESISTOR,0.05,2512,1,RSENSE,P50MCT-ND
RESISTOR,1k,0805,3,R7 R8 R9,311-1.00KCRCT-ND
RESISTOR,10k,0805,1,R1,311-10.0KCRCT-ND
RESISTOR,100k,0805,4,R3 R4 R5 R6,311-100KCRCT-ND
RESISTOR,1M5/220V+,2512,1,R2,A121175CT-ND
SWITCH_PUSHBUTTON_NO,unknown,B3F-1022,1,RESET_SW1,SW403-ND
TXB0104PWR,unknown,TSSOP14,2,U3 U4,296-21929-1-ND
VARIABLE_RESISTOR,3362P,bourns_3362P,1,VR1,3362P-502LF-ND
WIDEBAND_AMPLIFIER,MAX1771,SO8,1,U7,MAX1771ESA+-ND
WIRELESS_IOT,ATWINC1500,ATWINC1500-MR210,1,U2,ATWINC1500-MR210PA-ND